step,key,shape,compress_dims,snr,mean_sqr,var
1,transformer.wte.weight,"(50304, 768)","(0,)",0.0001356233115075156,9.188666970143726e-22,6.276838393954486e-18
1,transformer.wte.weight,"(50304, 768)","(1,)",0.5696320533752441,2.215236002531311e-18,4.063430046986611e-18
1,transformer.wte.weight,"(50304, 768)","(0, 1)",5.3411498811328784e-05,3.3531738155882284e-22,6.277999755534511e-18
1,transformer.wpe.weight,"(1024, 768)","(0,)",0.03262251988053322,7.741871735187186e-21,6.169796983389485e-19
1,transformer.wpe.weight,"(1024, 768)","(1,)",0.5399607419967651,2.120155287581703e-19,4.127057658583591e-19
1,transformer.wpe.weight,"(1024, 768)","(0, 1)",0.004982319660484791,3.097130416924935e-21,6.216241623820689e-19
1,transformer.h.0.ln_1.weight,"(768,)","(0,)",0.1334335207939148,1.8152607789446904e-21,1.360423402228904e-20
1,transformer.h.0.attn.k_proj.weight,"(768, 768)","(0,)",0.35928139090538025,1.536868522238495e-26,4.671825024820524e-26
1,transformer.h.0.attn.k_proj.weight,"(768, 768)","(1,)",0.5083940029144287,2.0971320201196393e-26,4.1115615269393796e-26
1,transformer.h.0.attn.k_proj.weight,"(768, 768)","(0, 1)",0.27642813324928284,1.344578283987029e-26,4.8641151089975944e-26
1,transformer.h.0.attn.q_proj.weight,"(768, 768)","(0,)",0.4289516508579254,1.870520631738424e-26,4.481862388462647e-26
1,transformer.h.0.attn.q_proj.weight,"(768, 768)","(1,)",0.5109997391700745,2.160105769292422e-26,4.1922777131318354e-26
1,transformer.h.0.attn.q_proj.weight,"(768, 768)","(0, 1)",0.2717761993408203,1.357492491673321e-26,4.9948909907509364e-26
1,transformer.h.0.attn.v_proj.weight,"(768, 768)","(0,)",0.4928126633167267,4.210150277560015e-20,8.809093537595853e-20
1,transformer.h.0.attn.v_proj.weight,"(768, 768)","(1,)",0.5125943422317505,4.4122033593428706e-20,8.607039809578144e-20
1,transformer.h.0.attn.v_proj.weight,"(768, 768)","(0, 1)",0.1397716999053955,1.5965669881240276e-20,1.1422676665473127e-19
1,transformer.h.0.attn.output_proj.weight,"(768, 768)","(0,)",0.5105391144752502,1.7157424933327978e-17,3.4194548027088694e-17
1,transformer.h.0.attn.output_proj.weight,"(768, 768)","(1,)",0.5717148184776306,1.943264972824286e-17,3.191932819525749e-17
1,transformer.h.0.attn.output_proj.weight,"(768, 768)","(0, 1)",0.16892871260643005,7.421173288250146e-18,4.39307980178053e-17
1,transformer.h.0.ln_2.weight,"(768,)","(0,)",0.19185101985931396,1.5106504076558834e-21,7.874080884908589e-21
1,transformer.h.0.mlp.mlp_up.weight,"(3072, 768)","(0,)",0.3930639326572418,1.965794927680662e-21,4.6570094811118565e-21
1,transformer.h.0.mlp.mlp_up.weight,"(3072, 768)","(1,)",0.5346747636795044,2.3268509851759974e-21,4.295952817771346e-21
1,transformer.h.0.mlp.mlp_up.weight,"(3072, 768)","(0, 1)",0.16712790727615356,9.483582304016239e-22,5.674445673519915e-21
1,transformer.h.0.mlp.mlp_proj.weight,"(768, 3072)","(0,)",0.5263605713844299,1.7885807093517672e-17,3.414457308320069e-17
1,transformer.h.0.mlp.mlp_proj.weight,"(768, 3072)","(1,)",0.9202368259429932,2.836089646172787e-17,2.366948867807417e-17
1,transformer.h.0.mlp.mlp_proj.weight,"(768, 3072)","(0, 1)",0.25020501017570496,1.041289862103601e-17,4.161746832079255e-17
1,transformer.h.1.ln_1.weight,"(768,)","(0,)",0.19539785385131836,3.1629472153274116e-21,1.6187215344910973e-20
1,transformer.h.1.attn.k_proj.weight,"(768, 768)","(0,)",0.2086879462003708,3.840870917697787e-27,2.1058920739530857e-26
1,transformer.h.1.attn.k_proj.weight,"(768, 768)","(1,)",0.5136376023292542,8.585405113485576e-27,1.6314384617813124e-26
1,transformer.h.1.attn.k_proj.weight,"(768, 768)","(0, 1)",0.14861053228378296,3.221606825600532e-27,2.1678185794593085e-26
1,transformer.h.1.attn.q_proj.weight,"(768, 768)","(0,)",0.43029823899269104,8.474542422910824e-27,1.98623913096336e-26
1,transformer.h.1.attn.q_proj.weight,"(768, 768)","(1,)",0.5314886569976807,9.942976183100628e-27,1.8393957549443796e-26
1,transformer.h.1.attn.q_proj.weight,"(768, 768)","(0, 1)",0.1390436589717865,3.459104610029594e-27,2.4877830278072797e-26
1,transformer.h.1.attn.v_proj.weight,"(768, 768)","(0,)",0.48344549536705017,1.1538723643065782e-19,2.2962862091777655e-19
1,transformer.h.1.attn.v_proj.weight,"(768, 768)","(1,)",0.5364384055137634,1.2109405887423772e-19,2.2392179847419665e-19
1,transformer.h.1.attn.v_proj.weight,"(768, 768)","(0, 1)",0.13971847295761108,4.229560910738882e-20,3.0272023854752275e-19
1,transformer.h.1.attn.output_proj.weight,"(768, 768)","(0,)",0.47248372435569763,7.230794030676371e-17,1.5530776574848164e-16
1,transformer.h.1.attn.output_proj.weight,"(768, 768)","(1,)",0.5234720706939697,7.722041376348343e-17,1.5039529229176192e-16
1,transformer.h.1.attn.output_proj.weight,"(768, 768)","(0, 1)",0.12708519399166107,2.566494610057259e-17,2.0195072025000336e-16
1,transformer.h.1.ln_2.weight,"(768,)","(0,)",0.1655104160308838,3.2241599942950778e-21,1.9480103425623802e-20
1,transformer.h.1.mlp.mlp_up.weight,"(3072, 768)","(0,)",0.34951698780059814,6.733211815987215e-21,1.846464390407406e-20
1,transformer.h.1.mlp.mlp_up.weight,"(3072, 768)","(1,)",0.5159247517585754,8.536196152198239e-21,1.6661661587346954e-20
1,transformer.h.1.mlp.mlp_up.weight,"(3072, 768)","(0, 1)",0.10957956314086914,2.488483005831461e-21,2.2709371300591073e-20
1,transformer.h.1.mlp.mlp_proj.weight,"(768, 3072)","(0,)",0.45791852474212646,1.5185810164805785e-17,3.4217182997370595e-17
