step,lr_step,loss_step
0.0,1.4992503748125936e-07,11.000217199325562
1.0,2.998500749625187e-07,10.997087955474854
2.0,4.497751124437781e-07,10.975061655044556
3.0,5.997001499250374e-07,10.948928594589233
4.0,7.496251874062968e-07,10.912748575210571
5.0,8.995502248875562e-07,10.871119499206543
6.0,1.0494752623688156e-06,10.823181867599487
7.0,1.1994002998500749e-06,10.772291421890259
8.0,1.3493253373313341e-06,10.688852071762085
9.0,1.4992503748125936e-06,10.644840002059937
10.0,1.6491754122938529e-06,10.573028326034546
11.0,1.7991004497751123e-06,10.507663488388062
12.0,1.9490254872563716e-06,10.444821119308472
13.0,2.0989505247376313e-06,10.400348901748657
14.0,2.2488755622188905e-06,10.32108187675476
15.0,2.3988005997001498e-06,10.268263816833496
16.0,2.548725637181409e-06,10.220870971679688
17.0,2.6986506746626683e-06,10.167540311813354
18.0,2.8485757121439275e-06,10.081384181976318
19.0,2.9985007496251872e-06,10.063211917877197
20.0,3.1484257871064465e-06,10.02079963684082
21.0,3.2983508245877057e-06,9.988932609558105
22.0,3.448275862068965e-06,9.924287796020508
23.0,3.5982008995502247e-06,9.91783618927002
24.0,3.748125937031484e-06,9.862248301506042
25.0,3.898050974512743e-06,9.831355214118958
26.0,4.047976011994003e-06,9.81315791606903
27.0,4.1979010494752625e-06,9.74191665649414
28.0,4.347826086956521e-06,9.803180694580078
29.0,4.497751124437781e-06,9.771249890327454
30.0,4.64767616191904e-06,9.698252081871033
31.0,4.7976011994002995e-06,9.719675183296204
32.0,4.947526236881558e-06,9.713144302368164
33.0,5.097451274362818e-06,9.72326397895813
34.0,5.247376311844078e-06,9.639260172843933
35.0,5.3973013493253366e-06,9.614418148994446
36.0,5.547226386806596e-06,9.593735933303833
37.0,5.697151424287855e-06,9.607443809509277
38.0,5.847076461769115e-06,9.622174501419067
39.0,5.9970014992503744e-06,9.609822630882263
40.0,6.146926536731633e-06,9.595752954483032
41.0,6.296851574212893e-06,9.538217782974243
42.0,6.446776611694152e-06,9.542706608772278
43.0,6.5967016491754115e-06,9.543822407722473
44.0,6.746626686656671e-06,9.520713090896606
45.0,6.89655172413793e-06,9.558507800102234
46.0,7.04647676161919e-06,9.497532844543457
47.0,7.196401799100449e-06,9.526667594909668
48.0,7.346326836581709e-06,9.467058181762695
49.0,7.496251874062968e-06,9.503219723701477
50.0,7.646176911544228e-06,9.47171688079834
51.0,7.796101949025486e-06,9.409200549125671
52.0,7.946026986506745e-06,9.411457180976868
53.0,8.095952023988006e-06,9.389767050743103
54.0,8.245877061469265e-06,9.412752985954285
55.0,8.395802098950525e-06,9.376487731933594
56.0,8.545727136431782e-06,9.343387484550476
57.0,8.695652173913043e-06,9.34130311012268
58.0,8.845577211394302e-06,9.324740767478943
59.0,8.995502248875562e-06,9.328417181968689
60.0,9.14542728635682e-06,9.289747476577759
61.0,9.29535232383808e-06,9.260544776916504
62.0,9.445277361319339e-06,9.273815155029297
63.0,9.595202398800599e-06,9.192898869514465
64.0,9.74512743628186e-06,9.152753949165344
65.0,9.895052473763117e-06,9.18465793132782
66.0,1.0044977511244377e-05,9.185459017753601
67.0,1.0194902548725636e-05,9.139062762260437
68.0,1.0344827586206897e-05,9.138661623001099
69.0,1.0494752623688155e-05,9.052852988243103
70.0,1.0644677661169414e-05,9.191018342971802
71.0,1.0794602698650673e-05,9.088498950004578
72.0,1.0944527736131934e-05,9.083113670349121
73.0,1.1094452773613192e-05,9.021444320678711
74.0,1.1244377811094453e-05,9.033525586128235
75.0,1.139430284857571e-05,9.022228121757507
76.0,1.154422788605697e-05,9.008828997612
77.0,1.169415292353823e-05,8.962666392326355
78.0,1.184407796101949e-05,9.01030719280243
79.0,1.1994002998500749e-05,8.930475115776062
80.0,1.2143928035982008e-05,8.959594964981079
81.0,1.2293853073463267e-05,8.935678601264954
82.0,1.2443778110944527e-05,8.932083249092102
83.0,1.2593703148425786e-05,8.94178032875061
84.0,1.2743628185907046e-05,8.895366787910461
85.0,1.2893553223388304e-05,8.868215680122375
86.0,1.3043478260869564e-05,8.80825936794281
87.0,1.3193403298350823e-05,8.774280548095703
88.0,1.3343328335832083e-05,8.808267712593079
89.0,1.3493253373313342e-05,8.779765367507935
90.0,1.3643178410794601e-05,8.750049471855164
91.0,1.379310344827586e-05,8.750025033950806
92.0,1.394302848575712e-05,8.75640869140625
93.0,1.409295352323838e-05,8.722407221794128
94.0,1.4242878560719638e-05,8.742294311523438
95.0,1.4392803598200899e-05,8.69651973247528
96.0,1.4542728635682157e-05,8.63547146320343
97.0,1.4692653673163418e-05,8.658672571182251
98.0,1.4842578710644677e-05,8.642284274101257
99.0,1.4992503748125936e-05,8.63481342792511
100.0,1.5142428785607194e-05,8.622583746910095
101.0,1.5292353823088455e-05,8.648871779441833
102.0,1.5442278860569712e-05,8.568746447563171
103.0,1.5592203898050973e-05,8.595848083496094
104.0,1.5742128935532233e-05,8.65164577960968
105.0,1.589205397301349e-05,8.569316864013672
106.0,1.604197901049475e-05,8.589677810668945
107.0,1.619190404797601e-05,8.539535403251648
108.0,1.6341829085457272e-05,8.494712710380554
109.0,1.649175412293853e-05,8.46509873867035
110.0,1.664167916041979e-05,8.532266616821289
111.0,1.679160419790105e-05,8.47197711467743
112.0,1.6941529235382307e-05,8.444084525108337
113.0,1.7091454272863564e-05,8.427802324295044
114.0,1.7241379310344825e-05,8.445281982421875
115.0,1.7391304347826085e-05,8.455665707588196
116.0,1.7541229385307346e-05,8.413877487182617
117.0,1.7691154422788603e-05,8.410248160362244
118.0,1.7841079460269864e-05,8.302215933799744
119.0,1.7991004497751124e-05,8.477293252944946
120.0,1.8140929535232385e-05,8.352414965629578
121.0,1.829085457271364e-05,8.338217735290527
122.0,1.84407796101949e-05,8.356654047966003
123.0,1.859070464767616e-05,8.204209208488464
124.0,1.874062968515742e-05,8.26095998287201
125.0,1.8890554722638677e-05,8.29301655292511
126.0,1.9040479760119938e-05,8.165602087974548
127.0,1.9190404797601198e-05,8.216432929039001
128.0,1.934032983508246e-05,8.151139616966248
129.0,1.949025487256372e-05,8.178181052207947
130.0,1.9640179910044976e-05,8.162242770195007
131.0,1.9790104947526234e-05,8.12618374824524
132.0,1.9940029985007494e-05,8.178123831748962
133.0,2.0089955022488755e-05,8.049558997154236
134.0,2.0239880059970012e-05,8.049492835998535
135.0,2.0389805097451272e-05,8.14487636089325
136.0,2.0539730134932533e-05,8.057003021240234
137.0,2.0689655172413793e-05,8.103860020637512
138.0,2.083958020989505e-05,8.079213500022888
139.0,2.098950524737631e-05,8.031396865844727
140.0,2.113943028485757e-05,8.03273618221283
141.0,2.128935532233883e-05,8.026992082595825
142.0,2.1439280359820086e-05,7.953675389289856
143.0,2.1589205397301346e-05,8.003024458885193
144.0,2.1739130434782607e-05,7.9417479038238525
145.0,2.1889055472263867e-05,7.912150621414185
146.0,2.2038980509745124e-05,7.963830828666687
147.0,2.2188905547226385e-05,7.884578704833984
148.0,2.2338830584707646e-05,7.939639687538147
149.0,2.2488755622188906e-05,7.878847122192383
150.0,2.263868065967016e-05,7.896285653114319
151.0,2.278860569715142e-05,7.808059453964233
152.0,2.293853073463268e-05,7.866705060005188
153.0,2.308845577211394e-05,7.827712893486023
154.0,2.32383808095952e-05,7.8430575132369995
155.0,2.338830584707646e-05,7.684418559074402
156.0,2.353823088455772e-05,7.74552047252655
157.0,2.368815592203898e-05,7.754577994346619
158.0,2.3838080959520237e-05,7.7670615911483765
159.0,2.3988005997001498e-05,7.747063040733337
160.0,2.4137931034482755e-05,7.757558226585388
161.0,2.4287856071964015e-05,7.711628079414368
162.0,2.4437781109445276e-05,7.688011527061462
163.0,2.4587706146926533e-05,7.615876197814941
164.0,2.4737631184407794e-05,7.674171328544617
165.0,2.4887556221889054e-05,7.616606950759888
166.0,2.5037481259370315e-05,7.703000903129578
167.0,2.5187406296851572e-05,7.661134600639343
168.0,2.5337331334332832e-05,7.6688408851623535
169.0,2.5487256371814093e-05,7.57840096950531
170.0,2.563718140929535e-05,7.577710747718811
171.0,2.5787106446776607e-05,7.5656187534332275
172.0,2.5937031484257868e-05,7.588600516319275
173.0,2.6086956521739128e-05,7.509503364562988
174.0,2.623688155922039e-05,7.573721408843994
175.0,2.6386806596701646e-05,7.543742656707764
176.0,2.6536731634182906e-05,7.484502792358398
177.0,2.6686656671664167e-05,7.527494430541992
178.0,2.6836581709145427e-05,7.561993598937988
179.0,2.6986506746626685e-05,7.497830390930176
