step,lr_step,loss_step
0.0,1.4992503748125936e-07,11.000217199325562
1.0,2.998500749625187e-07,10.994812250137329
2.0,4.497751124437781e-07,10.968197584152222
3.0,5.997001499250374e-07,10.935249328613281
4.0,7.496251874062968e-07,10.890454053878784
5.0,8.995502248875562e-07,10.837815999984741
6.0,1.0494752623688156e-06,10.778722763061523
7.0,1.1994002998500749e-06,10.715397596359253
8.0,1.3493253373313341e-06,10.617660284042358
9.0,1.4992503748125936e-06,10.567152500152588
10.0,1.6491754122938529e-06,10.48841118812561
11.0,1.7991004497751123e-06,10.417768955230713
12.0,1.9490254872563716e-06,10.352933406829834
13.0,2.0989505247376313e-06,10.305120944976807
14.0,2.2488755622188905e-06,10.225833654403687
15.0,2.3988005997001498e-06,10.173506736755371
16.0,2.548725637181409e-06,10.12346625328064
17.0,2.6986506746626683e-06,10.074067115783691
18.0,2.8485757121439275e-06,9.981714487075806
19.0,2.9985007496251872e-06,9.968881607055664
20.0,3.1484257871064465e-06,9.932438135147095
21.0,3.2983508245877057e-06,9.903700947761536
22.0,3.448275862068965e-06,9.840466380119324
23.0,3.5982008995502247e-06,9.840879440307617
24.0,3.748125937031484e-06,9.788742065429688
25.0,3.898050974512743e-06,9.761932492256165
26.0,4.047976011994003e-06,9.750065207481384
27.0,4.1979010494752625e-06,9.681898355484009
28.0,4.347826086956521e-06,9.749858975410461
29.0,4.497751124437781e-06,9.722113013267517
30.0,4.64767616191904e-06,9.65205192565918
31.0,4.7976011994002995e-06,9.677945375442505
32.0,4.947526236881558e-06,9.674914479255676
33.0,5.097451274362818e-06,9.687711596488953
34.0,5.247376311844078e-06,9.606319665908813
35.0,5.3973013493253366e-06,9.584787487983704
36.0,5.547226386806596e-06,9.564306139945984
37.0,5.697151424287855e-06,9.579434394836426
38.0,5.847076461769115e-06,9.594003558158875
39.0,5.9970014992503744e-06,9.581742286682129
40.0,6.146926536731633e-06,9.565293192863464
41.0,6.296851574212893e-06,9.506587386131287
42.0,6.446776611694152e-06,9.509506225585938
43.0,6.5967016491754115e-06,9.509453177452087
44.0,6.746626686656671e-06,9.48345959186554
45.0,6.89655172413793e-06,9.519999623298645
46.0,7.04647676161919e-06,9.456344842910767
47.0,7.196401799100449e-06,9.48621392250061
48.0,7.346326836581709e-06,9.42513883113861
49.0,7.496251874062968e-06,9.462208151817322
50.0,7.646176911544228e-06,9.431293606758118
51.0,7.796101949025486e-06,9.365987181663513
52.0,7.946026986506745e-06,9.367297291755676
53.0,8.095952023988006e-06,9.342951774597168
54.0,8.245877061469265e-06,9.36547577381134
55.0,8.395802098950525e-06,9.328071475028992
56.0,8.545727136431782e-06,9.29334819316864
57.0,8.695652173913043e-06,9.291410446166992
58.0,8.845577211394302e-06,9.274181723594666
59.0,8.995502248875562e-06,9.278008341789246
60.0,9.14542728635682e-06,9.237443804740906
61.0,9.29535232383808e-06,9.203500747680664
62.0,9.445277361319339e-06,9.21688199043274
63.0,9.595202398800599e-06,9.133686423301697
64.0,9.74512743628186e-06,9.093985557556152
65.0,9.895052473763117e-06,9.125339388847351
66.0,1.0044977511244377e-05,9.125502705574036
67.0,1.0194902548725636e-05,9.076313376426697
68.0,1.0344827586206897e-05,9.077439308166504
69.0,1.0494752623688155e-05,8.989433646202087
70.0,1.0644677661169414e-05,9.128982424736023
71.0,1.0794602698650673e-05,9.025461077690125
72.0,1.0944527736131934e-05,9.018630981445312
73.0,1.1094452773613192e-05,8.9567631483078
74.0,1.1244377811094453e-05,8.968256115913391
75.0,1.139430284857571e-05,8.954880833625793
76.0,1.154422788605697e-05,8.941492438316345
77.0,1.169415292353823e-05,8.892831206321716
78.0,1.184407796101949e-05,8.940820693969727
79.0,1.1994002998500749e-05,8.86048436164856
80.0,1.2143928035982008e-05,8.888654112815857
81.0,1.2293853073463267e-05,8.861441016197205
82.0,1.2443778110944527e-05,8.857530951499939
83.0,1.2593703148425786e-05,8.867227435112
84.0,1.2743628185907046e-05,8.820785880088806
85.0,1.2893553223388304e-05,8.792654275894165
86.0,1.3043478260869564e-05,8.731550574302673
87.0,1.3193403298350823e-05,8.695905804634094
88.0,1.3343328335832083e-05,8.731456995010376
89.0,1.3493253373313342e-05,8.699671030044556
90.0,1.3643178410794601e-05,8.669042587280273
91.0,1.379310344827586e-05,8.669841885566711
92.0,1.394302848575712e-05,8.676342964172363
93.0,1.409295352323838e-05,8.641865849494934
